index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall
nsg,1,16,256,264.771,80000000,1000,150,0.242256,1900975,0.7042
nsg,1,16,256,264.771,80000000,1000,160,0.261015,2023746,0.7138
nsg,1,16,256,264.771,80000000,1000,170,0.272301,2146198,0.7219
nsg,1,16,256,264.771,80000000,1000,180,0.303755,2268020,0.7313
nsg,1,16,256,264.771,80000000,1000,190,0.310074,2389821,0.7367
nsg,1,16,256,264.771,80000000,1000,200,0.32057,2512259,0.7426
nsg,1,16,256,264.771,80000000,1000,210,0.353093,2633910,0.7497
nsg,1,16,256,264.771,80000000,1000,220,0.342857,2754886,0.7543
nsg,1,16,256,264.771,80000000,1000,230,0.361002,2876525,0.7579
nsg,1,16,256,264.771,80000000,1000,240,0.372073,2996482,0.7614
nsg,1,16,256,264.771,80000000,1000,250,0.415414,3116745,0.7654
nsg,1,16,256,264.771,80000000,1000,260,0.424799,3237293,0.7693
nsg,1,16,256,264.771,80000000,1000,270,0.449467,3357049,0.7742
nsg,1,16,256,264.771,80000000,1000,280,0.472932,3477064,0.7781
nsg,1,16,256,264.771,80000000,1000,290,0.470741,3597736,0.7822
nsg,1,16,256,264.771,80000000,1000,300,0.514075,3716890,0.7852
nsg,1,32,64,103.354,144000000,1000,10,0.0267757,187424,0.0754
nsg,1,32,64,103.354,144000000,1000,20,0.0546992,376632,0.2675
nsg,1,32,64,103.354,144000000,1000,30,0.085786,557848,0.3888
nsg,1,32,64,103.354,144000000,1000,40,0.11063,734909,0.4666
nsg,1,32,64,103.354,144000000,1000,50,0.135406,913061,0.5253
nsg,1,32,64,103.354,144000000,1000,60,0.155251,1082238,0.5653
nsg,1,32,64,103.354,144000000,1000,70,0.17447,1255769,0.5961
nsg,1,32,64,103.354,144000000,1000,80,0.187386,1426382,0.626
nsg,1,32,64,103.354,144000000,1000,90,0.200686,1598322,0.6441
nsg,1,32,64,103.354,144000000,1000,100,0.2262,1767901,0.6676
nsg,1,32,64,103.354,144000000,1000,110,0.261702,1937228,0.6803
nsg,1,32,64,103.354,144000000,1000,120,0.274265,2105765,0.6946
nsg,1,32,64,103.354,144000000,1000,130,0.276267,2274945,0.7095
nsg,1,32,64,103.354,144000000,1000,140,0.295322,2445165,0.7202
nsg,1,32,64,103.354,144000000,1000,150,0.313618,2615987,0.7295
nsg,1,32,64,103.354,144000000,1000,160,0.320616,2783094,0.7387
nsg,1,32,64,103.354,144000000,1000,170,0.354931,2951205,0.7461
nsg,1,32,64,103.354,144000000,1000,180,0.374311,3116968,0.7539
nsg,1,32,64,103.354,144000000,1000,190,0.392967,3282297,0.7587
nsg,1,32,64,103.354,144000000,1000,200,0.408456,3448321,0.765
nsg,1,32,64,103.354,144000000,1000,210,0.415796,3615021,0.7701
nsg,1,32,64,103.354,144000000,1000,220,0.487271,3781662,0.7763
nsg,1,32,64,103.354,144000000,1000,230,0.442437,3951691,0.7825
nsg,1,32,64,103.354,144000000,1000,240,0.475461,4116908,0.7881
nsg,1,32,64,103.354,144000000,1000,250,0.520915,4286193,0.7919
nsg,1,32,64,103.354,144000000,1000,260,0.520818,4448460,0.7967
nsg,1,32,64,103.354,144000000,1000,270,0.556467,4617440,0.8009
nsg,1,32,64,103.354,144000000,1000,280,0.546898,4786664,0.8059
nsg,1,32,64,103.354,144000000,1000,290,0.577424,4946630,0.8105
nsg,1,32,64,103.354,144000000,1000,300,0.627361,5114218,0.8145
nsg,1,32,128,185.689,144000000,1000,10,0.0295075,204868,0.0975
nsg,1,32,128,185.689,144000000,1000,20,0.0618752,412072,0.3313
nsg,1,32,128,185.689,144000000,1000,30,0.0980815,614707,0.4616
nsg,1,32,128,185.689,144000000,1000,40,0.1188,813291,0.533
nsg,1,32,128,185.689,144000000,1000,50,0.146355,1010156,0.5911
nsg,1,32,128,185.689,144000000,1000,60,0.161252,1204472,0.633
nsg,1,32,128,185.689,144000000,1000,70,0.199491,1398108,0.6665
nsg,1,32,128,185.689,144000000,1000,80,0.193957,1592339,0.6897
nsg,1,32,128,185.689,144000000,1000,90,0.2166,1783883,0.7112
nsg,1,32,128,185.689,144000000,1000,100,0.264036,1977694,0.7291
nsg,1,32,128,185.689,144000000,1000,110,0.256496,2168099,0.7473
nsg,1,32,128,185.689,144000000,1000,120,0.275051,2361038,0.758
nsg,1,32,128,185.689,144000000,1000,130,0.311288,2552248,0.7675
nsg,1,32,128,185.689,144000000,1000,140,0.328504,2743254,0.777
nsg,1,32,128,185.689,144000000,1000,150,0.34065,2933356,0.7867
nsg,1,32,128,185.689,144000000,1000,160,0.349496,3124156,0.7957
nsg,1,32,128,185.689,144000000,1000,170,0.373703,3317432,0.8029
nsg,1,32,128,185.689,144000000,1000,180,0.418442,3506498,0.8107
