num_queries,num_tree,query_time,recall
10000,100,1.265368199,0.32985
10000,200,1.1600421010000002,0.47276
10000,300,1.288242812,0.56422
10000,400,1.098650849,0.62642
10000,500,1.568885993,0.67391
10000,800,1.621197993,0.76536
10000,1600,3.207015966,0.87101
