index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq1,efq2,query_time,comparison,recall
cspg,2,32,1.2,128,584.027,11724000000,1000,4,30,0.134779,1065607,0.7803
cspg,2,32,1.2,128,584.027,11724000000,1000,4,40,0.17495,1273036,0.8276
cspg,2,32,1.2,128,584.027,11724000000,1000,4,50,0.192526,1471492,0.8603
cspg,2,32,1.2,128,584.027,11724000000,1000,4,60,0.218723,1664873,0.8857
cspg,2,32,1.2,128,584.027,11724000000,1000,4,70,0.218875,1847438,0.9052
cspg,2,32,1.2,128,584.027,11724000000,1000,4,80,0.236852,2021019,0.9243
cspg,2,32,1.2,128,584.027,11724000000,1000,4,90,0.277529,2203914,0.9324
cspg,2,32,1.2,128,584.027,11724000000,1000,4,100,0.29816,2375023,0.9413
cspg,2,32,1.2,128,584.027,11724000000,1000,4,110,0.302649,2544177,0.9475
cspg,2,32,1.2,128,584.027,11724000000,1000,4,120,0.33407,2717785,0.9544
cspg,2,32,1.2,128,584.027,11724000000,1000,4,130,0.350454,2884530,0.9603
cspg,2,32,1.2,128,584.027,11724000000,1000,4,140,0.377303,3043623,0.9642
cspg,2,32,1.2,128,584.027,11724000000,1000,4,150,0.376018,3215052,0.968
cspg,2,32,1.2,128,584.027,11724000000,1000,4,160,0.399178,3369880,0.971
cspg,2,32,1.2,128,584.027,11724000000,1000,4,170,0.424488,3531574,0.9724
cspg,2,32,1.2,128,584.027,11724000000,1000,4,180,0.451828,3688473,0.9755
cspg,2,32,1.2,128,584.027,11724000000,1000,4,190,0.453573,3844801,0.9776
cspg,2,32,1.2,128,584.027,11724000000,1000,4,200,0.471751,3998281,0.9792
cspg,2,32,1.2,128,584.027,11724000000,1000,4,210,0.498136,4145056,0.9805
cspg,2,32,1.2,128,584.027,11724000000,1000,4,220,0.501527,4295740,0.9816
cspg,2,32,1.2,128,584.027,11724000000,1000,4,230,0.510586,4449542,0.9836
cspg,2,32,1.2,128,584.027,11724000000,1000,4,240,0.528241,4600130,0.9849
cspg,2,32,1.2,128,584.027,11724000000,1000,4,250,0.560254,4742129,0.9864
cspg,2,32,1.2,128,584.027,11724000000,1000,4,260,0.579311,4888767,0.9877
cspg,2,32,1.2,128,584.027,11724000000,1000,4,270,0.600581,5031135,0.989
cspg,2,32,1.2,128,584.027,11724000000,1000,4,280,0.605255,5179116,0.99
cspg,2,32,1.2,128,584.027,11724000000,1000,4,290,0.647607,5322565,0.991
cspg,2,32,1.2,128,584.027,11724000000,1000,4,300,0.651918,5460741,0.9918
cspg,2,32,1.2,128,584.027,11724000000,1000,8,10,0.0845957,619253,0.5497
cspg,2,32,1.2,128,584.027,11724000000,1000,8,20,0.124037,897413,0.7037
cspg,2,32,1.2,128,584.027,11724000000,1000,8,30,0.143239,1126164,0.783
cspg,2,32,1.2,128,584.027,11724000000,1000,8,40,0.179938,1331476,0.8324
cspg,2,32,1.2,128,584.027,11724000000,1000,8,50,0.218907,1538104,0.8645
cspg,2,32,1.2,128,584.027,11724000000,1000,8,60,0.234069,1723060,0.8907
cspg,2,32,1.2,128,584.027,11724000000,1000,8,70,0.240424,1908038,0.907
cspg,2,32,1.2,128,584.027,11724000000,1000,8,80,0.251199,2093995,0.9238
cspg,2,32,1.2,128,584.027,11724000000,1000,8,90,0.283383,2273890,0.9355
cspg,2,32,1.2,128,584.027,11724000000,1000,8,100,0.290475,2440609,0.9423
cspg,2,32,1.2,128,584.027,11724000000,1000,8,110,0.315935,2614029,0.9478
cspg,2,32,1.2,128,584.027,11724000000,1000,8,120,0.358635,2783295,0.956
cspg,2,32,1.2,128,584.027,11724000000,1000,8,130,0.342556,2952912,0.9607
cspg,2,32,1.2,128,584.027,11724000000,1000,8,140,0.380413,3117452,0.9647
cspg,2,32,1.2,128,584.027,11724000000,1000,8,150,0.401979,3284256,0.9691
cspg,2,32,1.2,128,584.027,11724000000,1000,8,160,0.411797,3446595,0.9717
cspg,2,32,1.2,128,584.027,11724000000,1000,8,170,0.429641,3604731,0.9731
cspg,2,32,1.2,128,584.027,11724000000,1000,8,180,0.455559,3765524,0.9755
cspg,2,32,1.2,128,584.027,11724000000,1000,8,190,0.493434,3917373,0.9784
cspg,2,32,1.2,128,584.027,11724000000,1000,8,200,0.483606,4072340,0.9795
cspg,2,32,1.2,128,584.027,11724000000,1000,8,210,0.508203,4226824,0.9806
cspg,2,32,1.2,128,584.027,11724000000,1000,8,220,0.519284,4377573,0.9822
cspg,2,32,1.2,128,584.027,11724000000,1000,8,230,0.536455,4529982,0.9838
cspg,2,32,1.2,128,584.027,11724000000,1000,8,240,0.571639,4675359,0.9849
cspg,2,32,1.2,128,584.027,11724000000,1000,8,250,0.610308,4823317,0.9869
cspg,2,32,1.2,128,584.027,11724000000,1000,8,260,0.582558,4971772,0.9881
cspg,2,32,1.2,128,584.027,11724000000,1000,8,270,0.609902,5112647,0.9885
cspg,2,32,1.2,128,584.027,11724000000,1000,8,280,0.647156,5261342,0.9901
