index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall,w
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 10, 0.0299626, 2027473, 0.13987, 0.23033
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 20, 0.0415725, 3634358, 0.57751, 0.542495
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 30, 0.0582828, 5187579, 0.72729, 0.686183
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 40, 0.0743009, 6716608, 0.79641, 0.762065
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 50, 0.0920099, 8226221, 0.83852, 0.808522
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 60, 0.114054, 9729879, 0.86613, 0.839922
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 70, 0.132557, 11220305, 0.88637, 0.862469
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 80, 0.155695, 12698677, 0.90128, 0.879464
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 90, 0.181494, 14177836, 0.91259, 0.89273
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 100, 0.210242, 15653936, 0.92223, 0.903367
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 110, 0.239994, 17124435, 0.93, 0.912076
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 120, 0.26973, 18591190, 0.93616, 0.919348
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 130, 0.309538, 20053826, 0.94122, 0.925522
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 140, 0.347792, 21503699, 0.94588, 0.930809
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 150, 0.386337, 22954453, 0.94974, 0.935398
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 160, 0.428454, 24403768, 0.95322, 0.939417
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 170, 0.474209, 25844508, 0.95638, 0.942968
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 180, 0.521443, 27290197, 0.95897, 0.946124
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 190, 0.57044, 28729109, 0.96121, 0.948947
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 200, 0.643114, 30164405, 0.96309, 0.951492
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 210, 0.745708, 31599731, 0.96507, 0.953796
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 220, 0.805142, 33037020, 0.96693, 0.955893
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 230, 0.875244, 34471396, 0.96858, 0.957807
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 240, 0.949553, 35906228, 0.97016, 0.959559
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 250, 0.975984, 37337068, 0.97148, 0.961172
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 260, 1.00681, 38761949, 0.97267, 0.962663
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 270, 1.04332, 40181581, 0.97374, 0.964043
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 280, 1.13136, 41597343, 0.97476, 0.965324
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 290, 1.19068, 43011286, 0.97576, 0.966519
hcnng, 1, 10, 1000, 5, 50.5366, 28598072, 10000, 300, 1.27959, 44433267, 0.97664, 0.967633
