index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,w
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 10, 0.0643235, 5558946, 0.74107, 0.488381
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 20, 0.0982111, 8131077, 0.86202, 0.645406
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 30, 0.129605, 10548205, 0.91335, 0.7297
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 40, 0.161572, 12907018, 0.94193, 0.782281
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 50, 0.189788, 15198142, 0.95831, 0.817991
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 60, 0.214641, 17445134, 0.96851, 0.84378
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 70, 0.242483, 19642442, 0.97561, 0.863294
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 80, 0.273212, 21794363, 0.98056, 0.878497
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 90, 0.307652, 23915306, 0.98416, 0.890684
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 100, 0.333381, 25994620, 0.98655, 0.900653
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 110, 0.394924, 28037505, 0.98856, 0.908971
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 120, 0.415716, 30049430, 0.98997, 0.916008
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 130, 0.441319, 32038824, 0.99119, 0.922044
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 140, 0.465927, 33996278, 0.99217, 0.927267
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 150, 0.506581, 35929698, 0.99284, 0.93184
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 160, 0.524997, 37834380, 0.99342, 0.935871
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 170, 0.558367, 39723994, 0.99399, 0.939453
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 180, 0.584211, 41592226, 0.99443, 0.942658
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 190, 0.604283, 43435601, 0.99491, 0.945539
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 200, 0.608195, 45260374, 0.99516, 0.948147
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 210, 0.614134, 47066105, 0.99536, 0.950518
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 220, 0.638579, 48856242, 0.99563, 0.95268
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 230, 0.668693, 50630281, 0.9958, 0.954661
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 240, 0.683215, 52394531, 0.99599, 0.956485
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 250, 0.716807, 54138854, 0.9961, 0.958168
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 260, 0.737154, 55867824, 0.99623, 0.959724
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 270, 0.762915, 57588327, 0.99642, 0.961169
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 280, 0.789558, 59294997, 0.9965, 0.962514
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 290, 0.803354, 60990667, 0.99658, 0.963769
hnsw, 1, 32, 128, 68.6407, 544743984, 10000, 300, 0.851108, 62672077, 0.99664, 0.964944
