index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,w
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 10, 0.0520488, 3003198, 0.2004, 0.18382
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 20, 0.0818183, 5768220, 0.72805, 0.533985
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 30, 0.111582, 8481152, 0.8416, 0.683617
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 40, 0.138384, 11168079, 0.88791, 0.761148
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 50, 0.161687, 13830051, 0.91359, 0.808342
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 60, 0.19844, 16486963, 0.92997, 0.839992
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 70, 0.225875, 19125193, 0.94053, 0.862726
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 80, 0.254783, 21750634, 0.94929, 0.879782
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 90, 0.284694, 24370428, 0.95586, 0.893071
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 100, 0.332387, 26982096, 0.96079, 0.903723
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 110, 0.375368, 29592953, 0.96483, 0.912441
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 120, 0.416727, 32202696, 0.96795, 0.919717
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 130, 0.464421, 34799698, 0.97058, 0.925878
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 140, 0.509269, 37394806, 0.97251, 0.931157
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 150, 0.548466, 39988558, 0.9746, 0.935733
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 160, 0.607166, 42581032, 0.97635, 0.939741
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 170, 0.663576, 45165813, 0.97756, 0.943282
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 180, 0.722333, 47750599, 0.97852, 0.946429
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 190, 0.77939, 50325395, 0.97944, 0.949247
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 200, 0.85652, 52902273, 0.98052, 0.951781
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 210, 0.925157, 55474327, 0.98148, 0.954075
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 220, 0.99402, 58039578, 0.98226, 0.95616
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 230, 1.06144, 60604368, 0.98307, 0.958063
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 240, 1.1299, 63170278, 0.98373, 0.959809
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 250, 1.22027, 65734084, 0.98434, 0.961415
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 260, 1.29503, 68294006, 0.98503, 0.962898
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 270, 1.39632, 70849405, 0.98559, 0.96427
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 280, 1.45627, 73403209, 0.98617, 0.965545
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 290, 1.54227, 75957261, 0.9866, 0.966732
vamana, 1, 32, 1.2, 128, 208.02, 528000000, 10000, 300, 1.63672, 78505672, 0.98692, 0.967841
