index_type,num_partition,max_degree,efc,build_time,index_size,num_queries,efq,query_time,comparison,recall,w
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 10, 0.0354617, 4479787, 0.80927, 0.522311
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 20, 0.0533734, 6588165, 0.91032, 0.679172
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 30, 0.0685324, 8571049, 0.94801, 0.760245
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 40, 0.0865161, 10494752, 0.96606, 0.809467
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 50, 0.102106, 12335705, 0.97513, 0.842127
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 60, 0.123081, 14106635, 0.98005, 0.865277
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 70, 0.136631, 15822977, 0.9835, 0.882576
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 80, 0.151628, 17494723, 0.9855, 0.895973
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 90, 0.164365, 19119840, 0.98681, 0.906644
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 100, 0.165345, 20700532, 0.98799, 0.915319
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 110, 0.180167, 22253019, 0.98873, 0.922539
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 120, 0.190819, 23765180, 0.98928, 0.928618
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 130, 0.202498, 25254320, 0.98974, 0.933822
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 140, 0.214388, 26708671, 0.99005, 0.938316
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 150, 0.227287, 28144135, 0.99032, 0.942245
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 160, 0.249003, 29551352, 0.99063, 0.945701
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 170, 0.291255, 30939435, 0.99081, 0.948769
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 180, 0.285266, 32299353, 0.99091, 0.951508
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 190, 0.294334, 33644387, 0.99101, 0.953967
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 200, 0.316245, 34972422, 0.99108, 0.956193
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 210, 0.340369, 36281182, 0.99117, 0.958212
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 220, 0.338229, 37573427, 0.99122, 0.960054
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 230, 0.341488, 38850459, 0.99127, 0.96174
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 240, 0.364721, 40114141, 0.99133, 0.963291
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 250, 0.36673, 41361916, 0.99133, 0.96472
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 260, 0.386297, 42595328, 0.9914, 0.966042
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 270, 0.395902, 43820775, 0.99142, 0.967269
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 280, 0.433423, 45028150, 0.99142, 0.96841
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 290, 0.428552, 46228384, 0.99144, 0.969475
hnsw, 1, 32, 128, 3.23728, 54485088, 10000, 300, 0.440375, 47415098, 0.99147, 0.97047
