index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall,w
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 10, 0.0560355, 1854946, 0.08073, 0.16372
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 20, 0.0488426, 3633773, 0.48021, 0.48076
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 30, 0.0723337, 5364596, 0.65504, 0.64143
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 40, 0.0983786, 7064938, 0.73482, 0.727635
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 50, 0.122858, 8752578, 0.78517, 0.780604
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 60, 0.14335, 10427441, 0.81974, 0.81636
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 70, 0.174742, 12089843, 0.84325, 0.842151
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 80, 0.198884, 13751156, 0.86197, 0.861627
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 90, 0.223618, 15407431, 0.87775, 0.876844
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 100, 0.251658, 17055989, 0.88966, 0.889024
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 110, 0.282444, 18695881, 0.89991, 0.899033
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 120, 0.314754, 20331672, 0.90856, 0.907387
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 130, 0.353147, 21957784, 0.91571, 0.914468
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 140, 0.393547, 23582282, 0.92178, 0.920544
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 150, 0.437529, 25203931, 0.92701, 0.925817
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 160, 0.482216, 26819505, 0.93134, 0.930426
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 170, 0.523665, 28439846, 0.93554, 0.934499
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 180, 0.569849, 30059157, 0.9391, 0.938125
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 190, 0.629004, 31669665, 0.94217, 0.941366
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 200, 0.691185, 33274795, 0.9451, 0.944288
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 210, 0.765074, 34875641, 0.9477, 0.946931
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 220, 0.828844, 36473284, 0.95014, 0.949333
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 230, 0.885432, 38076021, 0.95246, 0.951528
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 240, 0.948891, 39674956, 0.95474, 0.95354
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 250, 1.09507, 41277376, 0.95643, 0.955393
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 260, 1.16679, 42877773, 0.95806, 0.957105
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 270, 1.20906, 44474606, 0.95983, 0.95869
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 280, 1.28526, 46069079, 0.9613, 0.960163
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 290, 1.29651, 47663378, 0.96283, 0.961532
hcnng, 1, 10, 1000, 5, 195.117, 123987128, 10000, 300, 1.34855, 49253287, 0.9642, 0.962812
